inst_i,inst_j,weight
https://openalex.org/I28166907,https://openalex.org/I4210087915,1265
https://openalex.org/I28166907,https://openalex.org/I4210162051,192
https://openalex.org/I28166907,https://openalex.org/I57206974,553
https://openalex.org/I28166907,https://openalex.org/I62916508,783
https://openalex.org/I28166907,https://openalex.org/I8087733,509
https://openalex.org/I28166907,https://openalex.org/I887968799,255
https://openalex.org/I28166907,https://openalex.org/I97018004,1307
https://openalex.org/I28166907,https://openalex.org/I99464096,1626
https://openalex.org/I3018134672,https://openalex.org/I32021983,258
https://openalex.org/I3018134672,https://openalex.org/I40120149,500
https://openalex.org/I3018134672,https://openalex.org/I4210087915,299
https://openalex.org/I3018134672,https://openalex.org/I62916508,5955
https://openalex.org/I3018134672,https://openalex.org/I8087733,616
https://openalex.org/I3018134672,https://openalex.org/I887968799,181
https://openalex.org/I3018134672,https://openalex.org/I99464096,182
https://openalex.org/I32021983,https://openalex.org/I40120149,343
https://openalex.org/I32021983,https://openalex.org/I4210087915,131
https://openalex.org/I32021983,https://openalex.org/I4210162051,156
https://openalex.org/I32021983,https://openalex.org/I57206974,35
https://openalex.org/I32021983,https://openalex.org/I62916508,489
https://openalex.org/I32021983,https://openalex.org/I8087733,540
https://openalex.org/I32021983,https://openalex.org/I887968799,367
https://openalex.org/I32021983,https://openalex.org/I97018004,132
https://openalex.org/I32021983,https://openalex.org/I99464096,247
https://openalex.org/I40120149,https://openalex.org/I4210087915,1287
https://openalex.org/I40120149,https://openalex.org/I4210162051,163
https://openalex.org/I40120149,https://openalex.org/I57206974,985
https://openalex.org/I40120149,https://openalex.org/I62916508,1069
https://openalex.org/I40120149,https://openalex.org/I8087733,796
https://openalex.org/I40120149,https://openalex.org/I887968799,658
https://openalex.org/I40120149,https://openalex.org/I97018004,2776
https://openalex.org/I40120149,https://openalex.org/I99464096,1954
https://openalex.org/I4210087915,https://openalex.org/I4210162051,238
https://openalex.org/I4210087915,https://openalex.org/I57206974,1390
https://openalex.org/I4210087915,https://openalex.org/I62916508,456
https://openalex.org/I4210087915,https://openalex.org/I8087733,378
https://openalex.org/I4210087915,https://openalex.org/I887968799,151
https://openalex.org/I4210087915,https://openalex.org/I97018004,4031
https://openalex.org/I4210087915,https://openalex.org/I99464096,721
https://openalex.org/I4210162051,https://openalex.org/I62916508,544
https://openalex.org/I4210162051,https://openalex.org/I8087733,473
https://openalex.org/I4210162051,https://openalex.org/I887968799,315
https://openalex.org/I4210162051,https://openalex.org/I99464096,216
https://openalex.org/I57206974,https://openalex.org/I62916508,219
https://openalex.org/I57206974,https://openalex.org/I8087733,217
https://openalex.org/I57206974,https://openalex.org/I887968799,79
https://openalex.org/I57206974,https://openalex.org/I99464096,276
https://openalex.org/I62916508,https://openalex.org/I8087733,1397
https://openalex.org/I62916508,https://openalex.org/I887968799,1306
https://openalex.org/I62916508,https://openalex.org/I97018004,961
https://openalex.org/I62916508,https://openalex.org/I99464096,602
https://openalex.org/I8087733,https://openalex.org/I887968799,699
https://openalex.org/I8087733,https://openalex.org/I97018004,441
https://openalex.org/I8087733,https://openalex.org/I99464096,433
https://openalex.org/I887968799,https://openalex.org/I97018004,409
https://openalex.org/I887968799,https://openalex.org/I99464096,547
https://openalex.org/I97018004,https://openalex.org/I99464096,1060
https://openalex.org/I114090438,https://openalex.org/I2801227569,129
https://openalex.org/I114090438,https://openalex.org/I66752286,148
https://openalex.org/I114090438,https://openalex.org/I70931966,454
https://openalex.org/I2801227569,https://openalex.org/I66752286,121
https://openalex.org/I2801227569,https://openalex.org/I70931966,122
https://openalex.org/I2801227569,https://openalex.org/I97018004,1135
https://openalex.org/I66752286,https://openalex.org/I70931966,71
https://openalex.org/I66752286,https://openalex.org/I97018004,271
https://openalex.org/I70931966,https://openalex.org/I97018004,774
https://openalex.org/I114090438,https://openalex.org/I45129253,729
https://openalex.org/I111088046,https://openalex.org/I114090438,114
https://openalex.org/I111088046,https://openalex.org/I121797337,167
https://openalex.org/I111088046,https://openalex.org/I136199984,12670
https://openalex.org/I111088046,https://openalex.org/I138006243,674
https://openalex.org/I111088046,https://openalex.org/I145872427,328
